timeStamp, vertexId
1403636581363555500,79e84f8174d7a9410e00000000000000
1403636581563555500,ebc8cb8474d7a9410f00000000000000
1403636581763555500,833e3b798b2856bef100000000000000
1403636581963555500,eb4cfa788b2856bed101000000000000
1403636582163555500,f151eb7f8b2856bebf02000000000000
1403636582363555500,2b1bd37e8b2856becd03000000000000
1403636582563555500,16a45e7e8b2856beef04000000000000
1403636582763555500,2433f07d8b2856be5d05000000000000
1403636582963555500,5b577e7d8b2856be2106000000000000
1403636583163555500,f7d9f77c8b2856be0607000000000000
1403636583363555500,004d89738b2856bebc07000000000000
1403636583563555500,a99e18738b2856be3508000000000000
1403636583763555500,6bc1bb728b2856be4909000000000000
1403636583963555500,4b158f718b2856be4e0a000000000000
1403636584163555500,9d6d1e718b2856bebb0a000000000000
1403636584363555500,3b780c708b2856be9c0c000000000000
1403636584563555500,224c11778b2856be390d000000000000
1403636584763555500,9dc4f5768b2856bebc0d000000000000
1403636584963555500,b975ea758b2856be330e000000000000
1403636585163555500,865eb2748b2856beb70e000000000000
1403636585363555500,ad739f678b2856be2f0f000000000000
1403636585563555500,78f469668b2856beb90f000000000000
1403636585763555500,1e74f3648b2856be6210000000000000
1403636585963555500,ef828a5a8b2856beeb10000000000000
1403636586163555500,3fe2cb598b2856bee511000000000000
1403636586363555500,af40a45f8b2856befd12000000000000
1403636586563555500,a6edf65e8b2856be1414000000000000
1403636586763555500,636e7b5d8b2856beaa14000000000000
1403636586963555500,2e2c8c538b2856beed14000000000000
1403636587163555500,b1ec72538b2856be2415000000000000
1403636587363555500,cffb0f518b2856beff15000000000000
1403636587563555500,5aaf29578b2856be2f17000000000000
1403636587763555500,a7a818558b2856be7b18000000000000
1403636587963555500,0e1bef4b8b2856be6319000000000000
1403636588163555500,9a921a498b2856be261a000000000000
1403636588363555500,cecc5d488b2856be891a000000000000
1403636588563555500,f490204f8b2856bea91a000000000000
1403636588763555500,1ce0454e8b2856be221b000000000000
1403636588963555500,bbaa6b4c8b2856be771c000000000000
1403636589163555500,780caa418b2856be821d000000000000
1403636589363555500,ff76b1478b2856be911e000000000000
1403636589563555500,b9aeb8458b2856be551f000000000000
1403636589763555500,8097e73b8b2856bef21f000000000000
1403636589963555500,148abb398b2856becf20000000000000
1403636590163555500,541ebd388b2856be4521000000000000
1403636590363555500,6f9f1c3f8b2856bec221000000000000
1403636590563555500,a6353f3e8b2856be3922000000000000
1403636590763555500,70e7273c8b2856bece23000000000000
1403636590963555500,1cc7c3328b2856bea424000000000000
1403636591163555500,4ba585308b2856be8425000000000000
1403636591363555500,79d33b378b2856be6e26000000000000
1403636591563555500,abbeba358b2856be0827000000000000
1403636591763555500,1c602e348b2856beb127000000000000
1403636591963555500,38084f2b8b2856be4628000000000000
1403636592163555500,6b907b2a8b2856be7d29000000000000
1403636592363555500,db36ff288b2856be292a000000000000
1403636592563555500,4823ea2e8b2856bead2b000000000000
1403636592763555500,f909cc2c8b2856bec02c000000000000
1403636592963555500,df508d228b2856be8d2d000000000000
1403636593163555500,6abc36218b2856be622e000000000000
1403636593363555500,6ea71a278b2856be352f000000000000
1403636593563555500,f9acdb258b2856be2e30000000000000
1403636593763555500,78c61c1b8b2856be6131000000000000
1403636593963555500,0294ac198b2856be3832000000000000
1403636594163555500,7207d81f8b2856be6233000000000000
1403636594363555500,4f40ee1d8b2856bef233000000000000
1403636594563555500,a764a9138b2856be8834000000000000
1403636594763555500,b17158128b2856be6635000000000000
1403636594963555500,74ed19108b2856beb436000000000000
1403636595163555500,b8de2f168b2856be7237000000000000
1403636595363555500,4136d5148b2856befd37000000000000
1403636595563555500,f734980a8b2856be7338000000000000
1403636595763555500,b271b3088b2856be183a000000000000
1403636595963555500,76e1b50e8b2856be5c3b000000000000
1403636596163555500,2d90190c8b2856be2f3c000000000000
1403636596363555500,edf5c1028b2856be6b3c000000000000
1403636596563555500,df5d53018b2856be3c3d000000000000
1403636596763555500,ec1ef6078b2856be0e3e000000000000
1403636596963555500,78961d068b2856be563e000000000000
1403636597163555500,576779048b2856be6640000000000000
1403636597363555500,5de7cff974d7a941cb41000000000000
1403636597563555500,7f35f6ff74d7a9417242000000000000
1403636597763555500,5f7d53fe74d7a941c642000000000000
1403636597963555500,00139afc74d7a9414b43000000000000
1403636598163555500,d8dd74f374d7a9414045000000000000
1403636598363555500,793167f174d7a9414d46000000000000
1403636598563555500,c74014f774d7a941b746000000000000
1403636598763555500,eafa2ff574d7a9417847000000000000
1403636598963555500,40d70beb74d7a9416748000000000000
1403636599163555500,7af7f2e974d7a9414049000000000000
1403636599363555500,f0af29ef74d7a941d849000000000000
1403636599563555500,5e1dbaed74d7a941b84a000000000000
1403636599763555500,1b372aec74d7a941b94b000000000000
1403636599963555500,615424e374d7a941c84b000000000000
1403636600163555500,09972fe274d7a9412d4c000000000000
1403636600363555500,041445e174d7a941504c000000000000
1403636600563555500,c37ae9e774d7a941794d000000000000
1403636600763555500,a58f72e674d7a941914e000000000000
1403636600963555500,e17489e474d7a941c04e000000000000
1403636601163555500,e05e2bdb74d7a941a150000000000000
1403636601363555500,c8357ada74d7a9412052000000000000
1403636601563555500,1c1958d974d7a9415f52000000000000
1403636601763555500,ea5b9adf74d7a941f853000000000000
1403636601963555500,0f2726df74d7a9410a54000000000000
1403636602163555500,f1c3aede74d7a941bb54000000000000
1403636602363555500,291167de74d7a941d654000000000000
